ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11823422,JC387223,08/10/2019 07:13:00 PM,004XX E 61ST ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0313,003,20,42,01B,1180077,1864658,2019,10/21/2019 04:10:36 PM,41.783890605,-87.615311631,"(41.783890605, -87.615311631)"
10826397,JA119425,01/18/2017 12:30:54 PM,023XX W 35TH ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0911,009,12,59,01B,1160973,1881412,2017,12/12/2017 03:53:54 PM,41.830282091,-87.684890583,"(41.830282091, -87.684890583)"
10836558,JA138326,02/01/2017 06:37:57 PM,013XX S KEDZIE AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1022,010,24,29,01B,1155238,1893707,2017,04/01/2018 03:46:19 PM,41.864137869,-87.705602815,"(41.864137869, -87.705602815)"
11196916,JB106192,01/06/2018 04:10:00 AM,021XX W ADDISON ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1921,019,47,5,01B,1161515,1923886,2018,01/30/2019 04:14:07 PM,41.946823083,-87.681718565,"(41.946823083, -87.681718565)"
11243655,JB168387,02/28/2018 10:46:56 AM,018XX W 59TH ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0715,007,15,67,01B,1164937,1865549,2018,06/20/2018 04:03:16 PM,41.786669148,-87.670795242,"(41.786669148, -87.670795242)"
11265589,JB197488,03/23/2018 08:44:00 PM,024XX S KOSTNER AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1013,010,22,29,01B,1147442,1887418,2018,05/04/2018 03:51:04 PM,41.847032912,-87.73438296,"(41.847032912, -87.73438296)"
11273288,JB207703,04/01/2018 04:34:00 PM,038XX S INDIANA AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0212,002,3,35,01B,1178233,1879479,2018,07/20/2018 03:49:58 PM,41.824602821,-87.621622402,"(41.824602821, -87.621622402)"
11286359,JB221903,04/13/2018 01:57:09 AM,031XX W DEVON AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,2413,024,50,2,01B,1154040,1942262,2018,12/05/2018 04:12:40 PM,41.997400551,-87.708702095,"(41.997400551, -87.708702095)"
11177987,JA549346,12/14/2017 05:20:00 PM,038XX W AUGUSTA BLVD,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1112,011,27,23,01B,1150434,1906395,2017,07/03/2018 03:53:07 PM,41.899050162,-87.722906967,"(41.899050162, -87.722906967)"
11314814,JB218759,04/10/2018 07:27:58 PM,016XX E 95TH ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0413,004,8,51,01B,1188674,1842304,2018,11/15/2018 04:16:06 PM,41.722347855,-87.584505639,"(41.722347855, -87.584505639)"
11382488,JB351256,07/15/2018 10:03:40 PM,052XX W FULLERTON AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,2515,025,36,19,01B,1140886,1915453,2018,12/01/2018 04:09:34 PM,41.924087397,-87.757753616,"(41.924087397, -87.757753616)"
11455888,JB447920,09/23/2018 05:20:00 PM,033XX W DEVON AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1711,017,50,13,01B,1153126,1942234,2018,03/30/2019 03:57:52 PM,41.997341964,-87.712065116,"(41.997341964, -87.712065116)"
11457673,JB448709,09/24/2018 11:18:00 AM,055XX N SHERIDAN RD,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,2023,020,48,77,01B,1168635,1937059,2018,04/11/2019 04:07:22 PM,41.982818711,-87.655164396,"(41.982818711, -87.655164396)"
11507837,JB516353,11/15/2018 01:04:00 AM,071XX S STATE ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0323,003,6,69,01B,1177519,1857812,2018,04/13/2019 03:55:48 PM,41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
